time,block4a,base,block4a_diff,base_diff,soil_moisture,soil_moisture_diff,infiltration,infiltration_diff,precipitation,temperature,frost,frost_days,ftc,ftc_days
2020-12-03,6.99242842876578,8.26375487407288,0,0,57,0,0,0,10,-0.75,1,1,0,0
2020-12-04,5.58807183023384,6.50189717564059,-1.40435659853194,-1.76185769843229,56,-1,0,0,5.5,-2.04999999999995,1,2,0,0
2020-12-05,6.28891314238836,9.2991193390542,0.700841312154516,2.79722216341361,56,0,0,0,0.4,-3.14999999999998,1,3,0,0
2020-12-06,5.95440641512338,7.9604087292452,-0.334506727264976,-1.33871060980901,56,0,0,0,3,-2.64999999999998,1,4,0,0
2020-12-07,5.64717588401686,9.89892612154458,-0.307230531106526,1.93851739229938,55,-1,0,0,1.3,-1.54999999999995,1,5,1,1
2020-12-08,7.98657204719427,7.83937839220112,2.33939616317742,-2.05954772934346,55,0,0,0,0,1.35000000000002,0,0,1,2
2020-12-09,8.47888612043315,10.2712704928841,0.492314073238878,2.43189210068301,55,0,0,0,6.8,-0.449999999999989,1,1,1,3
2020-12-10,8.38321478533996,10.9010907220542,-0.0956713350931846,0.629820229170104,54,-1,0,0,0,-1.44999999999999,1,2,0,0
2020-12-11,10.1388494519784,8.0355525604455,1.75563466663841,-2.86553816160874,54,0,0,0,0.4,-1.25,1,3,0,0
2020-12-12,9.93049742505252,11.1733410384316,-0.208352026925857,3.13778847798611,54,0,0,0,0,-2.34999999999997,1,4,0,0
2020-12-13,12.4381408706981,8.41324226903466,2.50764344564556,-2.76009876939695,54,0,0,0,0,-2.54999999999995,1,5,0,0
2020-12-14,12.9455094371242,10.9458733447189,0.507368566426148,2.53263107568426,53,-1,0,0,0,-0.75,1,6,0,0
2020-12-15,10.8265337585348,8.78295789838299,-2.1189756785894,-2.16291544633593,53,0,0,0,9.1,-0.75,1,7,1,1
2020-12-16,10.3737725625851,10.6662008869308,-0.452761195949751,1.88324298854778,53,0,0,0,2.2,0.25,0,0,1,2
2020-12-17,11.9824767290551,10.9145645237771,1.60870416647002,0.248363636846308,53,0,0,0,1.5,1.05000000000001,0,0,0,0
2020-12-18,12.168553713852,9.92617562436683,0.186076984796888,-0.988388899410243,53,0,0,0,2.9,0.75,0,0,0,0
2020-12-19,13.0420420446949,12.6547206768,0.873488330842951,2.72854505243315,53,0,0,0,2.2,2.85000000000002,0,0,0,0
2020-12-20,12.550216832832,12.8670163870972,-0.491825211862896,0.212295710297248,53,0,0,0,1.5,4.55000000000001,0,0,0,0
2020-12-21,16.4550714501143,15.833571654267,3.90485461728223,2.96655526716972,53,0,0,0,0.8,1.65000000000003,0,0,0,0
2020-12-22,18.1411709265572,16.2694387137156,1.68609947644291,0.435867059448617,52,-1,0,0,5.3,0.350000000000023,0,0,1,1
2020-12-23,18.038771418259,19.9365024225577,-0.102399508298216,3.66706370884211,52,0,0,0,12.4,-0.349999999999966,1,1,1,2
2020-12-24,21.3788584542819,20.5272290959524,3.34008703602291,0.590726673394713,52,0,0,0,0.7,-2.54999999999995,1,2,0,0
2020-12-25,20.1707960231336,21.6456919506277,-1.20806243114826,1.11846285467529,52,0,0,0,0.1,-5.34999999999997,1,3,0,0
2020-12-26,21.4031812052406,22.8021898315898,1.232385182107,1.15649788096207,52,0,0,0,4,-6.25,1,4,0,0
2020-12-27,21.7742894048954,21.2931449880034,0.371108199654781,-1.50904484358637,52,0,0,0,3.6,-0.849999999999966,1,5,0,0
2020-12-28,24.2854468344119,22.0645998113172,2.51115742951652,0.771454823313842,52,0,0,0,7.4,-0.25,1,6,0,0
2020-12-29,24.9147234846267,22.3777212409557,0.629276650214774,0.313121429638432,52,0,0,0,0.3,-1.84999999999997,1,7,0,0
2020-12-30,24.5677164649324,21.0555504188139,-0.347007019694317,-1.32217082214177,51,-1,0,0,0,-1.54999999999995,1,8,0,0
2020-12-31,24.7870966201788,22.6622517016415,0.219380155246402,1.60670128282759,51,0,0,0,0,-2.34999999999997,1,9,0,0
2021-01-01,24.4157337441372,23.2789690604935,-0.371362876041594,0.616717358851997,51,0,0,0,0.1,-4.14999999999998,1,10,0,0
2021-01-02,25.5638596037309,22.455414005073,1.14812585959371,-0.823555055420517,51,0,0,0,0.1,-6.04999999999995,1,11,0,0
2021-01-03,26.245741571042,21.2502119229835,0.681881967311096,-1.20520208208947,51,0,0,0,0.7,-6.75,1,12,0,0
2021-01-04,25.5285623317283,21.2562252333409,-0.717179239313673,0.00601331035743868,51,0,0,0,0,-9.64999999999998,1,13,0,0
2021-01-05,25.6542946689941,22.7730327612822,0.125732337265781,1.51680752794127,51,0,0,0,0,-8.25,1,14,0,0
2021-01-06,27.6569320251509,21.9297782195832,2.00263735615684,-0.843254541698986,51,0,0,0,0,-9.84999999999997,1,15,0,0
2021-01-07,27.0843481680346,22.7031341005033,-0.572583857116275,0.77335588092004,51,0,0,0,0,-10.95,1,16,0,0
2021-01-08,27.5490436338911,22.8765931109562,0.464695465856455,0.173459010452991,50,-1,0,0,0,-11.95,1,17,0,0
2021-01-09,26.6328444827108,23.3432226892295,-0.916199151180262,0.466629578273285,50,0,0,0,0,-10.65,1,18,0,0
2021-01-10,26.347695571826,23.3980156013026,-0.285148910884814,0.0547929120731006,50,0,0,0,1.5,-5.25,1,19,0,0
2021-01-11,28.0438985134183,24.365536825781,1.69620294159229,0.967521224478325,50,0,0,0,4.4,-6.04999999999995,1,20,0,0
2021-01-12,29.068894716722,25.227946598561,1.02499620330374,0.862409772779998,50,0,0,0,0.7,-9.94999999999999,1,21,0,0
2021-01-13,27.420617932528,24.6281264308479,-1.6482767841941,-0.59982016771303,50,0,0,0,0.7,-5.94999999999999,1,22,0,0
2021-01-14,26.7320773325051,23.4897085523023,-0.688540600022836,-1.13841787854566,50,0,0,0,0,-11.25,1,23,0,0
2021-01-15,28.2634955218427,23.2987705395092,1.53141818933758,-0.190938012793072,50,0,0,0,0,-13.05,1,24,0,0
2021-01-16,28.3059057751223,23.3047829943457,0.0424102532796233,0.00601245483646551,50,0,0,0,0,-11.45,1,25,0,0
2021-01-17,28.9701774436525,26.5452693590542,0.66427166853018,3.24048636470857,50,0,0,0,0.1,-7.34999999999997,1,26,0,0
2021-01-18,28.471536943501,26.3689216583983,-0.498640500151499,-0.176347700655942,49,-1,0,0,1,-3.64999999999998,1,27,0,0
2021-01-19,30.1352194057388,23.7379630592057,1.66368246223778,-2.63095859919256,49,0,0,0,0.6,-4.25,1,28,0,0
2021-01-20,28.4340765671646,24.2658505551593,-1.7011428385742,0.527887495953554,49,0,0,0,0,-4.64999999999998,1,29,0,0
2021-01-21,27.4070075234175,24.9465192299381,-1.0270690437471,0.680668674778772,49,0,0,0,4.9,-3.25,1,30,0,0
